Fund Symbol	Fund Cusip	Fund Name	Category	Subcategory
BARL	61760E390	Morgan Stanley S&P 500 Crude Oil Linked ETN	Equity	NATURAL RESOURCES
BBH	57060U183	Market Vectors Biotech ETF	Equity	HEALTH/BIOTECHNOLOGY
BBRC	268461639	EGShares Beyond BRICs ETF	Global Equity	EMERGING MARKETS
BCM	06740P114	iPath Pure Beta Broad Commodity ETN	Commodity	COMMODITIES
BDCL	90267B765	ETRACS 2xLeveraged Long Wells Fargo Business Development Company Index	Equity	GROWTH
BDCS	902641588	ETRACS Linked to the Wells Fargo Business Development Company Index	Equity	GROWTH
BDD	25154K841	Powershares DB Base Metals Double Long ETN	Commodity	COMMODITIES
BDG	25154K825	Powershares DB Base Metals Long ETN	Commodity	COMMODITIES
BIB	74347R214	ProShares Ultra Nasdaq Biotechnology	Equity	HEALTH/BIOTECHNOLOGY
BICK	33733H107	First Trust BICK Index Fund	Global Equity	EMERGING MARKETS
BIK	78463X798	SPDR S&P BRIC 40 ETF	Global Equity	EMERGING MARKETS
BIL	78464A680	SPDR Barclays 1-3 Month T-Bill ETF	Fixed Income	FIXED INCOME
BIS	74347B409	ProShares UltraShort Nasdaq Biotechnology	Equity	HEALTH/BIOTECHNOLOGY
BIV	921937819	Vanguard Intermediate-Term Bond Index Fund	Fixed Income	FIXED INCOME
BJK	57060U829	Market Vectors Gaming ETF	Global Equity	EQUITY SPECIALTY
BKF	464286657	iShares MSCI BRIC Index Fund	Global Equity	EMERGING MARKETS
BKLN	73936Q769	PowerShares Senior Loan Portfolio	Fixed Income	FIXED INCOME
BLND	90267L201	ETRACS DJ-UBS Commodity Index 2-4-6 Blended Futures ETN	Commodity	COMMODITIES
BLNG	06740P338	iPath Pure Beta Precious Metals ETN	Commodity	PRECIOUS METALS
BLV	921937793	Vanguard Long-Term Bond Index Fund	Fixed Income	FIXED INCOME
BND	921937835	Vanguard Total Bond Market Index Fund	Fixed Income	FIXED INCOME
BNO	91167Q100	United States Brent Oil Fund	Commodity	NATURAL RESOURCES
BNPC	86324B103	STREAM S&P Dynamic Roll Global Commodities Fund	Commodity	GLOBAL
BOIL	74347W122	ProShares Ultra DJ-UBS Natural Gas	Commodity	NATURAL RESOURCES
BOM	25154K858	Powershares DB Base Metals Double Short ETN	Commodity	COMMODITIES
BOND	72201R775	PIMCO Total Return ETF	Fixed Income	FIXED INCOME
BONO	57060U431	Market Vectors LatAm Aggregate Bond ETF	Fixed Income	FIXED INCOME
BOS	25154K833	Powershares DB Base Metals Short ETN	Commodity	COMMODITIES
BRAF	37950E838	Global X Brazil Financials ETF	Global Equity	FINANCIAL SERVICES
BRAQ	37950E846	Global X Brazil Consumer ETF	Global Equity	CONSUMER
BRAZ	37950E788	Global X Brazil Mid Cap ETF	Global Equity	MID-CAP
BRF	57060U613	Market Vectors Brazil Small-Cap ETF	Global Equity	SMALL-CAP
BRXX	268461829	EGShares Brazil Infrastructure ETF	Global Equity	GLOBAL
BSC	25154H590	ELEMENTS Benjamin Graham Small Cap Value Index-Total Return ETN	Equity	VALUE
BSCC	18383M597	Guggenheim BulletShares 2012 Corporate Bond ETF	Fixed Income	FIXED INCOME
BSCD	18383M589	Guggenheim BulletShares 2013 Corporate Bond ETF	Fixed Income	FIXED INCOME
BSCE	18383M571	Guggenheim BulletShares 2014 Corporate Bond ETF	Fixed Income	FIXED INCOME
BSCF	18383M563	Guggenheim BulletShares 2015 Corporate Bond ETF	Fixed Income	FIXED INCOME
BSCG	18383M555	Guggenheim BulletShares 2016 Corporate Bond ETF	Fixed Income	FIXED INCOME
BSCH	18383M548	Guggenheim BulletShares 2017 Corporate Bond ETF	Fixed Income	FIXED INCOME
BSCI	18383M530	Guggenheim BulletShares 2018 Corporate Bond ETF	Fixed Income	FIXED INCOME
BSCJ	18383M522	Guggenheim BulletShares 2019 Corporate Bond ETF	Fixed Income	FIXED INCOME
BSCK	18383M514	Guggenheim BulletShares 2020 Corporate Bond ETF	Fixed Income	FIXED INCOME
BSJC	18383M456	Guggenheim BulletShares 2012 High Yield Corporate Bond ETF	Fixed Income	FIXED INCOME
BSJD	18383M449	Guggenheim BulletShares 2013 High Yield Corporate Bond ETF	Fixed Income	FIXED INCOME
BSJE	18383M431	Guggenheim BulletShares 2014 High Yield Corporate Bond ETF	Fixed Income	FIXED INCOME
BSJF	18383M423	Guggenheim BulletShares 2015 High Yield Corporate Bond ETF	Fixed Income	FIXED INCOME
BSJG	18383M415	Guggenheim BulletShares 2016 High Yield Corporate Bond ETF	Fixed Income	FIXED INCOME
BSJH	18383M399	Guggenheim BulletShares 2017 High Yield Corporate Bond ETF	Fixed Income	FIXED INCOME
BSJI	18383M381	Guggenheim BulletShares 2018 High Yield Corporate Bond ETF	Fixed Income	FIXED INCOME
BSV	921937827	Vanguard Short-Term Bond Index Fund	Fixed Income	FIXED INCOME
BTAL	351680707	QuantShares U.S. Market Neutral Anti-Beta Fund	Equity	EQUITY SPECIALTY
BUND	72201R767	PIMCO Germany Bond Index Exchange-Traded Fund	Fixed Income	EUROPEAN REGION
BUNL	25154W506	PowerShares DB German Bund Futures Exchange Traded Notes	Fixed Income	FIXED INCOME
BUNT	25154W407	PowerShares DB 3x German Bund Futures Exchange Traded Notes	Fixed Income	FIXED INCOME
BVL	25154H574	ELEMENTS Benjamin Graham Large Cap Value Index-Total Return ETN	Equity	VALUE
BVT	25154H582	ELEMENTS Benjamin Graham Total Market Value Index-Total Return ETN	Equity	VALUE
