Fund Symbol	Fund Cusip	Fund Name	Category	Subcategory
EFAV	46429B689	iShares MSCI EAFE Minimum Volatility Index Fund	Global Equity	INTERNATIONAL
EFG	464288885	iShares MSCI EAFE Growth Index Fund	Global Equity	GROWTH
EFNL	46429B515	iShares MSCI Finland Capped Investable Market Index Fund	Global Equity	EUROPEAN REGION
EFO	74347X500	ProShares Ultra MSCI EAFE	Global Equity	INTERNATIONAL
EFU	74347R339	ProShares UltraShort MSCI EAFE	Global Equity	INTERNATIONAL
EFV	464288877	iShares MSCI EAFE Value Index Fund	Global Equity	VALUE
EFZ	74347R370	ProShares Short MSCI EAFE	Global Equity	INTERNATIONAL
EGPT	57060U548	Market Vectors Egypt Index ETF	Global Equity	EMERGING MARKETS
EGRW	464286467	iShares MSCI Emerging Markets Growth Index Fund	Global Equity	GROWTH
EIDO	46429B309	iShares MSCI Indonesia Investable Market Index Fund	Global Equity	EMERGING MARKETS
EIPL	90268A659	ETRACS Monthly 2x Leveraged Next Generation ETN	Equity	TECHNOLOGY
EIPO	90268A774	ETRACS Next Generation Internet ETN	Equity	TECHNOLOGY
EIRL	46429B507	iShares MSCI Ireland Capped Investable Market Index Fund	Global Equity	EUROPEAN REGION
EIS	464286632	iShares MSCI Israel Capped Index Fund	Global Equity	INTERNATIONAL
ELD	97717X867	WisdomTree Emerging Markets Local Debt Fund	Fixed Income	FIXED INCOME
ELR	78464A854	SPDR Dow Jones Large Cap ETF	Equity	LARGE-CAP
EMB	464288281	iShares JPMorgan USD Emerging Markets Bond Fund	Fixed Income	FIXED INCOME
EMCB	97717X784	WisdomTree Emerging Markets Corporate Bond Fund	Fixed Income	EMERGING MARKETS
EMCD	78468R507	SPDR BofA Merrill Lynch Emerging Markets Corporate Bond ETF	Fixed Income	FIXED INCOME
EMCR	268461464	EGShares Emerging Markets CORE ETF	Equity	EMERGING MARKETS
EMDD	268461621	EGShares Emerging Markets Domestic Demand ETF	Global Equity	EMERGING MARKETS
EMDI	464286418	iShares MSCI Emerging Markets Consumer Discretionary Sector Index Fund	Global Equity	EMERGING MARKETS
EMER	45409B644	IQ Emerging Markets Mid Cap ETF	Global Equity	EMERGING MARKETS
EMEY	464286376	iShares MSCI Emerging Markets Energy Sector Capped Index Fund	Global Equity	EMERGING MARKETS
EMFN	464289172	iShares MSCI Emerging Markets Financial Sector Index Fund	Global Equity	EMERGING MARKETS
EMFT	78463X467	SPDR MSCI Emerging Market 50 ETF	Global Equity	EMERGING MARKETS
EMHY	464286285	iShares Emerging Markets High Yield Bond Fund	Fixed Income	EMERGING MARKETS
EMIF	464288216	iShares S&P Emerging Markets Infrastructure Index Fund	Global Equity	EMERGING MARKETS
EMLB	06740P874	iPath Long Enhanced MSCI Emerging Markets Index ETN	Global Equity	EMERGING MARKETS
EMLC	57060U522	Market Vectors Emerging Markets Local Currency Bond ETF	Fixed Income	FIXED INCOME
EMLP	33738D101	First Trust North American Energy Infrastructure Fund	Equity	NATURAL RESOURCES
EMM	78464A847	SPDR Dow Jones Mid Cap ETF	Equity	MID-CAP
EMMT	464289198	iShares MSCI Emerging Markets Materials Sector Index Fund	Global Equity	EMERGING MARKETS
EMSA	06740P866	iPath Short Enhanced MSCI Emerging Markets Index ETN	Global Equity	EMERGING MARKETS
EMT	268461852	EGShares Emerging Markets Metals and Mining ETF	Global Equity	EMERGING MARKETS
ENGN	46429B226	iShares Industrials Sector Bond Fund	Fixed Income	INDUSTRIALS
ENOR	46429B499	iShares MSCI Norway Capped Investable Market Index Fund	Global Equity	EUROPEAN REGION
ENY	18383Q606	Guggenheim Canadian Energy Income ETF	Global Equity	GLOBAL
ENZL	464289123	IShares MSCI New Zealand Investable Market Index Fund	Global Equity	ASIAN REGION
EPHE	46429B408	iShares MSCI Philippines Investable Market Index Fund	Global Equity	ASIAN REGION
EPI	97717W422	WisdomTree India Earnings Fund	Global Equity	EMERGING MARKETS
EPOL	46429B606	iShares MSCI Poland Investable Market Index Fund	Global Equity	EUROPEAN REGION
EPP	464286665	iShares MSCI Pacific ex-Japan Index Fund	Global Equity	ASIAN REGION
EPS	97717W588	WisdomTree Earnings 500 Fund	Equity	GROWTH
EPU	464289842	iShares MSCI All Peru Capped Index Fund	Global Equity	INTERNATIONAL
EPV	74348A301	ProShares UltraShort MSCI Europe	Global Equity	EUROPEAN REGION
EQL	00162Q205	ALPS Equal Sector Weight ETF	Equity	LARGE-CAP
ERO	06739F184	iPath EUR/USD Exchange Rate ETN	Currency	EUROPEAN REGION
ERUS	46429B705	iShares MSCI Russia Capped Index Fund	Global Equity	EMERGING MARKETS
ERX	25459W888	Direxion Daily Energy Bull 3X Shares	Equity	NATURAL RESOURCES
ERY	25459W342	Direxion Daily Energy Bear 3X Shares	Equity	NATURAL RESOURCES
ESR	464286566	iShares MSCI Emerging Markets Eastern Europe Index Fund	Global Equity	EMERGING MARKETS
EU	97717W174	WisdomTree Dreyfus Euro Debt Fund	Fixed Income	EUROPEAN REGION
EUFN	464289180	iShares MSCI Europe Financial Sector Index Fund	Global Equity	FINANCIAL SERVICES
EUFX	74347W742	ProShares Short Euro	Commodity	AGRICULTURE
EUM	74347R396	ProShares Short MSCI Emerging Markets	Global Equity	EMERGING MARKETS
EUO	74347W882	ProShares UltraShort Euro	Currency	EUROPEAN REGION
EUSA	464286681	iShares MSCI USA Index Fund	Equity	LARGE-CAP
EVAL	464286459	iShares MSCI Emerging Markets Value Index Fund	Global Equity	VALUE
EVX	57060U209	Market Vectors Environmental Services ETF	Equity	INDUSTRIALS
EWA	464286103	iShares MSCI Australia Index Fund	Global Equity	ASIAN REGION
EWAS	46429B481	iShares MSCI Australia Small Cap Index Fund	Global Equity	SMALL-CAP
EWC	464286509	iShares MSCI Canada Index Fund	Global Equity	INTERNATIONAL
EWCS	46429B473	iShares MSCI Canada Small Cap Index Fund	Global Equity	SMALL-CAP
EWD	464286756	iShares MSCI Sweden Index Fund	Global Equity	EUROPEAN REGION
EWEF	78355W544	Guggenheim MSCI EAFE Equal Weight ETF	Global Equity	INTERNATIONAL
EWEM	78355W536	Guggenheim MSCI Emerging Markets Equal Weight ETF	Global Equity	EMERGING MARKETS
EWG	464286806	iShares MSCI Germany Index Fund	Global Equity	EUROPEAN REGION
EWGS	46429B465	iShares MSCI Germany Small Cap Index Fund	Global Equity	SMALL-CAP
EWH	464286871	iShares MSCI Hong Kong Index Fund	Global Equity	ASIAN REGION
EWHS	46429B457	iShares MSCI Hong Kong Small Cap Index Fund	Global Equity	SMALL-CAP
EWI	464286855	iShares MSCI Italy Index Fund	Global Equity	EUROPEAN REGION
EWJ	464286848	iShares MSCI Japan Index Fund	Global Equity	ASIAN REGION
EWK	464286301	iShares MSCI Belgium Capped Investable Market Index Fund	Global Equity	EUROPEAN REGION
EWL	464286749	iShares MSCI Switzerland Index Fund	Global Equity	EUROPEAN REGION
EWM	464286830	iShares MSCI Malaysia Index Fund	Global Equity	ASIAN REGION
EWMD	78355W510	Guggenheim S&P MidCap 400 Equal Weight ETF	Equity	MID-CAP
EWN	464286814	iShares MSCI Netherlands Investable Market Index Fund	Global Equity	EUROPEAN REGION
EWO	464286202	iShares MSCI Austria Investable Market Index Fund	Global Equity	EUROPEAN REGION
EWP	464286764	iShares MSCI Spain Index Fund	Global Equity	EUROPEAN REGION
EWQ	464286707	iShares MSCI France Index Fund	Global Equity	EUROPEAN REGION
EWRI	78355W593	Guggenheim Russell 1000 Equal Weight ETF	Equity	LARGE-CAP
EWRM	78355W577	Guggenheim Russell MidCap Equal Weight ETF	Equity	MID-CAP
EWRS	78355W585	Guggenheim Russell 2000 Equal Weight ETF	Equity	SMALL-CAP
EWS	464286673	iShares MSCI Singapore Index Fund	Global Equity	ASIAN REGION
EWSM	78355W494	Guggenheim S&P SmallCap 600 Equal Weight ETF	Equity	SMALL-CAP
EWSS	46429B432	iShares MSCI Singapore Small Cap Index Fund	Global Equity	SMALL-CAP
EWT	464286731	iShares MSCI Taiwan Index Fund	Global Equity	ASIAN REGION
EWU	464286699	iShares MSCI UK Index Fund	Global Equity	EUROPEAN REGION
EWUS	46429B416	iShares MSCI United Kingdom Small Cap Index Fund	Global Equity	SMALL-CAP
EWV	74347R347	ProShares UltraShort MSCI Japan	Global Equity	ASIAN REGION
EWW	464286822	iShares MSCI Mexico Investable Market Index Fund	Global Equity	INTERNATIONAL
EWX	78463X756	SPDR S&P Emerging Markets Small Cap ETF	Global Equity	EMERGING MARKETS
EWY	464286772	iShares MSCI South Korea Index Fund	Global Equity	ASIAN REGION
EWZ	464286400	iShares MSCI Brazil Index Fund	Global Equity	EMERGING MARKETS
EWZS	464289131	iShares MSCI Brazil Small Cap Index Fund	Global Equity	SMALL-CAP
EXI	464288729	iShares S&P Global Industrials Sector Index Fund	Global Equity	INDUSTRIALS
EXT	97717W596	WisdomTree Total Earnings Fund	Equity	GROWTH
EZA	464286780	iShares MSCI South Africa Index Fund	Global Equity	EMERGING MARKETS
EZJ	74347X708	ProShares Ultra MSCI Japan	Global Equity	ASIAN REGION
EZM	97717W570	WisdomTree MidCap Earnings Fund	Equity	MID-CAP
EZU	464286608	iShares MSCI EMU Index Fund	Global Equity	EUROPEAN REGION
EZY	97717W547	WisdomTree LargeCap Value Fund	Equity	VALUE
FAA	18383Q812	Guggenheim Airline ETF	Global Equity	EQUITY SPECIALTY
FAB	33733C108	First Trust Multi Cap Value AlphaDEX Fund	Equity	VALUE
FAD	33733F101	First Trust Multi Cap Growth AlphaDEX Fund	Equity	GROWTH
FAN	33736G106	First Trust ISE Global Wind Energy Index Fund	Global Equity	NATURAL RESOURCES
FAS	25459Y694	Direxion Daily Financial Bull 3X Shares	Equity	FINANCIAL SERVICES
FAUS	33737J216	First Trust Australia AlphaDEX Fund	Global Equity	MID-CAP
FAZ	25459W144	Direxion Daily Financial Bear 3X Shares	Equity	FINANCIAL SERVICES
FBG	90267L508	Fisher Enhanced Big Cap Growth ETN	Equity	LARGE-CAP
FBT	3.37E+207	First Trust NYSE Arca Biotechnology Index Fund	Equity	HEALTH/BIOTECHNOLOGY
FBZ	33737J133	First Trust Brazil AlphaDEX Fund	Global Equity	EMERGING MARKETS
FCA	33737J141	First Trust China AlphaDEX Fund	Global Equity	ASIAN REGION
FCAN	33737J208	First Trust Canada AlphaDEX Fund	Global Equity	MID-CAP
FCG	33734J102	First Trust ISE-Revere Natural Gas Index Fund	Equity	NATURAL RESOURCES
FCHI	464288190	iShares FTSE China (HK Listed) Index Fund	Global Equity	ASIAN REGION
FDD	33735T109	First Trust Dow Jones STOXX European Select Dividend Index Fund	Global Equity	INCOME
FDL	336917109	First Trust Morningstar Dividend Leaders Index Fund	Equity	INCOME
FDM	33718M105	First Trust Dow Jones Select MicroCap Index Fund	Equity	SMALL-CAP
FDN	3.37E+306	First Trust Dow Jones Internet Index Fund	Equity	TECHNOLOGY
FDT	33737J174	First Trust Developed Markets ex-US AlphaDEX Fund	Global Equity	INDUSTRIALS
FDTS	33737J406	First Trust Developed Markets ex-US Small Cap AlphaDEX Fund	Global Equity	SMALL-CAP
FDV	3.37E+108	First Trust Strategic Value Index Fund	Equity	VALUE
FEFN	464289214	iShares MSCI Far East Financial Sector Index Fund	Global Equity	FINANCIAL SERVICES
FEM	33737J182	First Trust Emerging Markets AlphaDEX Fund	Global Equity	EMERGING MARKETS
FEMS	33737J307	First Trust Emerging Markets Small Cap AlphaDEX Fund	Global Equity	EMERGING MARKETS
FEP	33737J117	First Trust Europe AlphaDEX Fund	Global Equity	EUROPEAN REGION
FEU	78463X103	SPDR DJ STOXX 50 ETF	Global Equity	LARGE-CAP
FEX	33734K109	First Trust Large Cap Core AlphaDEX Fund	Equity	LARGE-CAP
FEZ	78463X202	SPDR DJ EURO STOXX 50 ETF	Global Equity	LARGE-CAP
FFR	33736N101	First Trust FTSE EPRA/NAREIT Developed Markets Real Estate Index Fund	Global Equity	REAL ESTATE
FGD	33734X200	First Trust Dow Jones Global Select Dividend Index Fund	Global Equity	INCOME
FGEM	268461506	EGShares Financial GEMS ETF	Global Equity	EMERGING MARKETS
FGM	33737J190	First Trust Germany AlphaDEX Fund	Global Equity	MID-CAP
FHK	33737J240	First Trust Hong Kong AlphaDEX Fund	Global Equity	ASIAN REGION
FILL	464286343	iShares MSCI Global Energy Producers Fund	Global Equity	NATURAL RESOURCES
FINF	74348A798	ProShares Short 30 Year TIPS/TSY	Fixed Income	FIXED INCOME
FINU	74348A582	ProShares UltraPro Financials ETF	Equity	FINANCIAL SERVICES
FINZ	74348A574	ProShares UltraPro Short Financials ETF	Equity	FINANCIAL SERVICES
FIVZ	72201R601	PIMCO 3-7 Year U.S. Treasury Index Exchange-Traded Fund	Fixed Income	FIXED INCOME
FIW	33733B100	First Trust ISE Water Index Fund	Equity	NATURAL RESOURCES
FJP	33737J158	First Trust Japan AlphaDEX Fund	Global Equity	ASIAN REGION
FKO	33737J166	First Trust South Korea AlphaDEX Fund	Global Equity	ASIAN REGION
FKU	33737J224	First Trust United Kingdom AlphaDEX Fund	Global Equity	EUROPEAN REGION
FLAT	06740L485	iPath US Treasury Flattener ETN	Fixed Income	FIXED INCOME
FLM	33736M103	First Trust ISE Global Engineering and Construction Index Fund	Global Equity	INDUSTRIALS
FLN	33737J125	First Trust Latin America AlphaDEX Fund	Global Equity	INTERNATIONAL
FLOT	46429B655	iShares Floating Rate Note Fund	Fixed Income	FIXED INCOME
FLRN	78468R200	SPDR Barclays Investment Grade Floating Rate ETF	Fixed Income	FIXED INCOME
FLTR	57060U514	Market Vectors Investment Grade Floating Rate ETF	Fixed Income	FIXED INCOME
FM	464286145	iShares MSCI Frontier 100 Index Fund	Global Equity	EMERGING MARKETS
FMK	33737M508	First Trust Mega Cap AlphaDEX Fund	Equity	LARGE-CAP
FNI	33733A102	First Trust ISE Chindia Index Fund	Global Equity	EMERGING MARKETS
FNIO	464288554	iShares FTSE NAREIT Industrial/Office Capped Index Fund	Equity	REAL ESTATE
FNK	33737M201	First Trust Mid Cap Value AlphaDEX Fund	Equity	VALUE
FNX	33735B108	First Trust Mid Cap Core AlphaDEX Fund	Equity	MID-CAP
FNY	33737M102	First Trust Mid Cap Growth AlphaDEX Fund	Equity	GROWTH
FOIL	06740P171	iPath Pure Beta Aluminum ETN	Commodity	COMMODITIES
FOL	30304P104	FactorShares 2X: Oil Bull/S&P500 Bear	Commodity	NATURAL RESOURCES
FONE	33737K106	First Trust NASDAQ CEA Smartphone Index Fund	Global Equity	TECHNOLOGY
FPA	33737J109	First Trust Asia Pacific ex-Japan AlphaDEX Fund	Global Equity	ASIAN REGION
FPX	336920103	First Trust US IPO Index Fund	Equity	GROWTH
FRAK	57060U159	Market Vectors Unconventional Oil & Gas ET	Global Equity	NATURAL RESOURCES
FRI	33734G108	First Trust S&P REIT Index Fund	Equity	REAL ESTATE
FRN	18383Q838	Guggenheim Frontier Markets ETF	Global Equity	INTERNATIONAL
FSA	303047104	FactorShares 2X: TBond Bull/S&P500 Bear	Equity	LARGE-CAP
FSE	303046106	FactorShares 2X: S&P500 Bull/TBond Bear	Equity	LARGE-CAP
FSG	30304T106	FactorShares 2X: Gold Bull/S&P500 Bear	Commodity	PRECIOUS METALS
FSU	303048102	FactorShares 2X: S&P500 Bull/USD Bear	Equity	LARGE-CAP
FSZ	33737J232	First Trust Switzerland AlphaDEX Fund	Global Equity	EUROPEAN REGION
FTA	33735J101	First Trust Large Cap Value Opportunities AlphaDEX Fund	Equity	VALUE
FTC	33735K108	First Trust Large Cap Growth Opportunities AlphaDEX Fund	Equity	GROWTH
FTW	33737J257	First Trust Taiwan AlphaDEX Fund	Global Equity	ASIAN REGION
FTY	464288521	iShares FTSE NAREIT Real Estate 50 Index Fund	Equity	REAL ESTATE
FUD	902641737	UBS E-TRACS UBS Bloomberg CMCI Food TR ETN	Commodity	AGRICULTURE
FUE	870297199	ELEMENTS MLCX Biofuels Index - Total Return ETN	Commodity	NATURAL RESOURCES
FVD	33734H106	First Trust Value Line Dividend Index Fund	Equity	INCOME
FVI	336919105	First Trust Value Line Equity Allocation Index Fund	Equity	FLEXIBLE PORTFOLIO
FVL	33735G107	First Trust ValueLine 100 Exchange-Traded Fund	Equity	GROWTH & INCOME
FWDB	00768Y834	Madrona Forward Global Bond ETF	Fixed Income	FIXED INCOME
FWDD	00768Y859	Madrona Forward Domestic ETF	Equity	LARGE-CAP
FWDI	00768Y842	Madrona Forward International ETF	Global Equity	LARGE-CAP
FXA	23129U101	CurrencyShares Australian Dollar Trust	Currency	ASIAN REGION
FXB	23129S106	CurrencyShares British Pound Sterling Trust	Currency	EUROPEAN REGION
FXC	23129X105	CurrencyShares Canadian Dollar Trust	Currency	INTERNATIONAL
FXCH	23131C107	CurrencyShares Chinese Renminbi Trust	Currency	ASIAN REGION
FXD	33734X101	First Trust Consumer Discretionary AlphaDEX Fund	Equity	CONSUMER
FXE	23130C108	CurrencyShares Euro Trust	Currency	EUROPEAN REGION
FXF	23129V109	CurrencyShares Swiss Franc Trust	Currency	EUROPEAN REGION
FXG	33734X119	First Trust Consumer Staples AlphaDEX Fund	Equity	CONSUMER
FXH	33734X143	First Trust Health Care AlphaDEX Fund	Equity	HEALTH/BIOTECHNOLOGY
FXI	464287184	iShares FTSE China 25 Index Fund	Global Equity	LARGE-CAP
FXL	33734X176	First Trust Technology AlphaDEX Fund	Equity	TECHNOLOGY
FXN	33734X127	First Trust Energy AlphaDEX Fund	Equity	NATURAL RESOURCES
FXO	33734X135	First Trust Financials AlphaDEX Fund	Equity	FINANCIAL SERVICES
FXP	74347X567	ProShares UltraShort FTSE/Xinhua China 25	Global Equity	ASIAN REGION
FXR	33734X150	First Trust Industrials/Producer Durables AlphaDEX Fund	Equity	INDUSTRIALS
FXS	23129R108	CurrencyShares Swedish Krona Trust	Currency	EUROPEAN REGION
FXU	33734X184	First Trust Utilities AlphaDEX Fund	Equity	UTILITY
FXY	23130A102	CurrencyShares Japanese Yen Trust	Currency	ASIAN REGION
FXZ	33734X168	First Trust Materials AlphaDEX Fund	Equity	BASIC MATERIALS
FYC	33737M409	First Trust Small Cap Growth AlphaDEX Fund	Equity	GROWTH
FYT	33737M300	First Trust Small Cap Value AlphaDEX Fund	Equity	VALUE
FYX	33734Y109	First Trust Small Cap Core AlphaDEX Fund	Equity	SMALL-CAP
GAF	78463X806	SPDR S&P Emerging Middle East & Africa ETF	Global Equity	EMERGING MARKETS
GAL	78467V400	SPDR SSgA Global Allocation ETF	Global Equity	GROWTH & INCOME
GASL	25459W227	Direxion Daily Natural Gas Related Bull 3x ETF	Equity	NATURAL RESOURCES
GASX	25459W219	Direxion Daily Natural Gas Related Bear 3x ETF	Equity	NATURAL RESOURCES
GASZ	90267B799	Natural Gas Futures Contango ETN due June 14, 2041	Commodity	NATURAL RESOURCES
GAZ	06739H644	iPath Dow Jones-UBS Natural Gas Subindex Total Return ETN	Commodity	NATURAL RESOURCES
GBB	06739F176	iPath GBP/USD Exchange Rate ETN	Currency	EUROPEAN REGION
GBF	464288596	iShares Barclays Government/Credit Bond Fund	Fixed Income	FIXED INCOME
GCC	395258106	GreenHaven Continuous Commodity Index Fund	Commodity	COMMODITIES
GCE	362273104	Claymore CEF GS Connect ETN	Fixed Income	FIXED INCOME
GDAY	74347W494	ProShares Ultra Australian Dollar	Currency	ASIAN REGION
GDX	57060U100	Market Vectors Gold Miners ETF	Equity	PRECIOUS METALS
GDXJ	57060U589	Market Vectors Junior Gold Miners ETF	Global Equity	PRECIOUS METALS
GERJ	57060U381	Market Vectors Germany Small-Cap ETF	Global Equity	SMALL-CAP
GEX	57060U407	Market Vectors Global Alternative Energy ETF	Global Equity	NATURAL RESOURCES
GGEM	268461308	EGShares Consumer Goods GEMS ETF	Equity	EMERGING MARKETS
GGGG	37950E614	Global X Pure Gold Miners ETF	Commodity	PRECIOUS METALS
GGOV	74348A889	ProShares German Sovereign/Sub-Sovereign ETF	Fixed Income	EUROPEAN REGION
GHYG	464286178	iShares Global High Yield Corporate Bond Fund	Fixed Income	FIXED INCOME
GII	78463X855	SPDR FTSE/Macquarie Global Infrastructure 100 ETF	Global Equity	GLOBAL
GIVE	00768Y776	AdvisorShares Global Echo ETF	Global Equity	GROWTH & INCOME
GIY	18383M662	Guggenheim Enhanced Core Bond ETF	Fixed Income	FIXED INCOME
GLD	78463V107	SPDR Gold Shares	Commodity	PRECIOUS METALS
GLDX	37950E739	Global X Gold Explorers ETF	Commodity	PRECIOUS METALS
GLL	74347W395	ProShares UltraShort Gold	Commodity	PRECIOUS METALS
GLTR	26922W109	ETFS Physical Precious Metal Basket Shares	Commodity	PRECIOUS METALS
GMF	78463X301	SPDR S&P Emerging Asia Pacific ETF	Global Equity	EMERGING MARKETS
GMFS	78463X525	SPDR S&P Small Cap Emerging Asia Pacific ETF	Global Equity	EMERGING MARKETS
GML	78463X707	SPDR S&P Emerging Latin America ETF	Global Equity	EMERGING MARKETS
GMM	78463X509	SPDR S&P Emerging Markets ETF	Global Equity	EMERGING MARKETS
GMMB	19761R703	Columbia Intermediate Municipal Bond Strategy Fund	Fixed Income	FIXED INCOME
GMTB	19761R802	Columbia Core Bond Strategy Fund	Fixed Income	FIXED INCOME
GNAT	97717W711	WisdomTree Global Natural Resources Fund	Global Equity	NATURAL RESOURCES
GNMA	46429B333	iShares Barclays GNMA Bond Fund	Fixed Income	FIXED INCOME
GNR	78463X541	SPDR S&P Global Natural Resources ETF	Global Equity	NATURAL RESOURCES
GOVT	46429B267	iShares Barclays U.S. Treasury Bond Fund	Fixed Income	FIXED INCOME
GREK	37950E366	Global X FTSE Greece 20 ETF	Global Equity	EUROPEAN REGION
GRES	45409B883	IQ ARB Global Resources ETF	Global Equity	COMMODITIES
GRI	00162Q106	Cohen & Steers Global Realty Majors ETF	Global Equity	REAL ESTATE
GRID	33737A108	First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund	Global Equity	UTILITY
GRN	06739H164	iPath Global Carbon ETN	Commodity	COMMODITIES
GRU	870297215	ELEMENTS MLCX Grains Index-Total Return ETN	Commodity	AGRICULTURE
GRWN	06740P288	iPath Pure Beta Softs ETN	Commodity	COMMODITIES
GSC	38144L852	GS Connect S&P GSCI Enhanced Commodity Total Return Strategy Index ETN	Commodity	COMMODITIES
GSG	46428R107	iShares GSCI Commodity-Indexed Trust	Commodity	COMMODITIES
GSP	06738C794	iPath S&P GSCI Total Return Index ETN	Commodity	NATURAL RESOURCES
GSY	18383M654	Guggenheim Enhanced Short Duration Bond ETF	Fixed Income	FIXED INCOME
GTAA	00768Y800	Cambria Global Tactical ETF	Global Equity	GROWTH & INCOME
GTIP	46429B812	iShares Global Inflation-Linked Bond Fund	Fixed Income	GLOBAL
GULF	97717X305	WisdomTree Middle East Dividend Fund	Global Equity	INCOME
GUNR	33939L407	FlexShares Global Upstream Natural Resources Index Fund	Global Equity	NATURAL RESOURCES
GUR	78463X608	SPDR S&P Emerging Europe ETF	Global Equity	EMERGING MARKETS
GURU	37950E341	Global X Top Guru Holdings Index ETF	Global Equity	MID-CAP
GVI	464288612	iShares Barclays Intermediate Government/Credit Bond Fund	Fixed Income	FIXED INCOME
GVT	19761R109	Columbia Concentrated Large Cap Value Strategy Fund	Equity	VALUE
GWL	78463X889	SPDR S&P World ex-US ETF	Global Equity	INTERNATIONAL
GWO	22542D407	ELEMENTS Credit Suisse Global Warming Index ETN	Global Equity	EQUITY SPECIALTY
GWX	78463X871	SPDR S&P International Small Cap ETF	Global Equity	SMALL-CAP
GXC	78463X400	SPDR S&P China ETF	Global Equity	EMERGING MARKETS
GXF	3.80E+105	Global X FTSE Nordic 30 ETF	Global Equity	EUROPEAN REGION
GXG	3.80E+204	Global X/InterBolsa FTSE Colombia 20 ETF	Global Equity	INTERNATIONAL
GYLD	66537H105	Arrow Dow Jones Global Yield ETF	Global Equity	FLEXIBLE PORTFOLIO
HAO	18383Q853	Guggenheim China Small Cap ETF	Global Equity	SMALL-CAP
HAP	57060U795	Market Vectors RVE Hard Assets Producers ETF	Global Equity	BASIC MATERIALS
HDG	74347X294	ProShares Hedge Replication ETF	Global Equity	GLOBAL
HDGE	00768Y883	AdvisorShares Ranger Equity Bear ETF	Equity	GROWTH & INCOME
HDV	46429B663	iShares High Dividend Equity Fund	Equity	INCOME
HECO	446698201	Huntington EcoLogical Strategy ETF	Equity	EQUITY SPECIALTY
HEDJ	97717X701	WisdomTree Europe Hedged Equity Fund	Global Equity	EUROPEAN REGION
HEVY	06740P296	iPath Pure Beta Industrial Metals ETN	Commodity	COMMODITIES
HGEM	268461605	EGShares Health Care GEMS ETF	Equity	HEALTH/BIOTECHNOLOGY
HGI	18383Q804	Guggenheim International Multi-Asset Income ETF	Global Equity	INTERNATIONAL
HILO	268461654	EGShares Low Volatility Emerging Markets Dividend ETF	Global Equity	INCOME
HUSE	446698102	Huntington US Equity Rotation Strategy ETF	Equity	GROWTH & INCOME
HYD	57060U878	Market Vectors High-Yield Municipal Index ETF	Fixed Income	FIXED INCOME
HYEM	57061R403	Market Vectors Emerging Markets High Yield Bond ETF	Fixed Income	EMERGING MARKETS
HYG	464288513	iShares iBoxx $ High Yield Corporate Bond Fund	Fixed Income	FIXED INCOME
HYLD	00768Y503	Peritus High Yield ETF	Fixed Income	FIXED INCOME
HYMB	78464A284	SPDR Nuveen S&P High Yield Municipal Bond ETF	Fixed Income	FIXED INCOME
HYS	72201R783	PIMCO 0-5 Year High Yield Corporate Bond Index Exchange-Traded Fund	Fixed Income	FIXED INCOME
HYXU	464286210	iShares Global ex USD High Yield Corporate Bond Fund	Fixed Income	FIXED INCOME
IAI	464288794	iShares Dow Jones US Broker-Dealers Index Fund	Equity	FINANCIAL SERVICES
IAK	464288786	iShares Dow Jones US Insurance Index Fund	Equity	FINANCIAL SERVICES
IAT	464288778	iShares Dow Jones US Regional Banks Index Fund	Equity	FINANCIAL SERVICES
IAU	464285105	iShares COMEX Gold Trust	Commodity	PRECIOUS METALS
IBB	464287556	iShares Nasdaq Biotechnology Index Fund	Equity	HEALTH/BIOTECHNOLOGY
IBND	78464A151	SPDR Barclays International Corporate Bond ETF	Fixed Income	INCOME
ICF	464287564	iShares Cohen & Steers Realty Majors Index Fund	Equity	REAL ESTATE
ICI	06739H412	iPath Optimized Currency Carry ETN	Currency	CURRENCY
ICLN	464288224	iShares S&P Global Clean Energy Index Fund	Global Equity	NATURAL RESOURCES
ICN	97717W166	WisdomTree Dreyfus Indian Rupee Fund	Currency	EMERGING MARKETS
IDHB	73937B696	Powershares S&P International Developed High Beta Portfolio	Global Equity	LARGE-CAP
IDHQ	73936T805	PowerShares S&P International Developed High Quality Portfolio	Global Equity	INTERNATIONAL
IDLV	73937B688	PowerShares S&P International Developed Low Volatility Portfolio	Global Equity	LARGE-CAP
IDU	464287697	iShares Dow Jones US Utilities Sector Index Fund	Equity	UTILITY
IDV	464288448	iShares Dow Jones EPAC Select Dividend Fund	Global Equity	INCOME
IDX	57060U753	Market Vectors Indonesia Index ETF	Global Equity	EMERGING MARKETS
IDXJ	57060U167	Market Vectors Indonesia Small-Cap ETF	Global Equity	SMALL-CAP
IEF	464287440	iShares Barclays 7-10 Year Treasury Bond Fund	Fixed Income	FIXED INCOME
IEFA	46432F842	iShares Core MSCI EAFE ETF	Global Equity	INTERNATIONAL
IEI	464288661	iShares Barclays 3-7 Year Treasury Bond Fund	Fixed Income	FIXED INCOME
IEMG	46434G103	iShares Core MSCI Emerging Markets ETF	Global Equity	EMERGING MARKETS
IEO	464288851	iShares Dow Jones US Oil & Gas Exploration & Production Index Fund	Equity	NATURAL RESOURCES
IEV	464287861	iShares S&P Europe 350 Index Fund	Global Equity	EUROPEAN REGION
