"New Stock List as of 1/17/2014",,,
CACI,CACI INTERNATIONAL INC,NYQ,United States,Technology
CAE,CAE INC.,NYQ,Canada,Industrials
CAG,Conagra Foods Inc,NYSE Euronext,United States,Goods
CAH,Cardinal Health Inc,NYSE Euronext,United States,Services
CALX,"CALIX, INC.",NYQ,United States,Technology
CAM,Cameron Intl Corp,NYSE Euronext,United States,Oil & Gas
CARR,Carrier Global Corporation,NYQ,United States,Industrials
CAS,SIMPLIFY CHINA A SHARES PLUS INCOME ETF,PCX,US,Technology
CASY,"Casey's General Stores, Inc.",NMS,United States,Goods
CAT,Caterpillar Inc,NYSE Euronext,United States,Industrials
CATO,THE CATO CORPORATION,NYQ,United States,ConsumerDiscr
CB,Chubb Corp,NYSE Euronext,United States,Financials
CBI,Chicago Bridge & Iron,NYSE Euronext,Netherlands,Industrials
CBK,"COMMERCIAL BANCGROUP, INC.",NCM,United States,Financials
CBL,CBL & Associates Properties,NYSE Euronext,United States,Financials
CBOE,CBOE Hldgs Inc,NASDAQ Global Select,United States,Financials
CBRE,"CBRE Group, Inc.",NYQ,United States,Financials
CBT,Cabot Corp,NYSE Euronext,United States,Materials
CBU,"COMMUNITY FINANCIAL SYSTEM, INC.",NYQ,United States,Financials
CBZ,"CBIZ, INC.",NYQ,United States,Industrials
CCC,CCC INTELLIGENT SOLUTIONS HOLDINGS INC.,NMS,United States,Technology
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC,NMS,United Kingdom,Technology
CCG,CHECHE GROUP INC.,NCM,China,Technology
CCH.L,COCA-COLA HBC AG,LSE,Switzerland,ConsumerStpl
CCI,Crown Castle Intl Corp,NYSE Euronext,United States,Technology
CCJ,CAMECO CORPORATION,NYQ,Canada,Energy
CCK,Crown Holdings Inc,NYSE Euronext,United States,Industrials
CCL,Carnival Corp,NYSE Euronext,United Kingdom,Services
CCM,CONCORD MEDICAL SERVICES HOLDINGS LIMITED,NYQ,China,Healthcare
CCO,Clear Channel Outdoor,NYSE Euronext,United States,Services
CCU,COMPAÑÍA CERVECERÍAS UNIDAS S.A.,NYQ,Chile,ConsumerStpl
CDE,"COEUR MINING, INC.",NYQ,United States,BasicMaterials
CDNS,Cadence Design Systems,NASDAQ Global Select,United States,Technology
CDW,CDW Corporation,NMS,United States,Technology
CE,Celanese Corp,NYSE Euronext,United States,Materials
CEG,Constellation Energy Corporation,NMS,United States,Utilities
CF,Cf Industries Holdings,NYSE Euronext,United States,Materials
CFG,"Citizens Financial Group, Inc.",NYQ,United States,Financials
CFR,Cullen Frost Bankers,NYSE Euronext,United States,Financials
CGV,CONDUCTOR GLOBAL EQUITY VALUE ETF,NYQ,US,Technology
CHA,CHAGEE HOLDINGS LIMITED,NMS,China,ConsumerDiscr
CHD,Church & Dwight Inc,NYSE Euronext,United States,Goods
CHE,CHEMED CORPORATION,NYQ,United States,Healthcare
CHH,Choice Hotels Intl Inc,NYSE Euronext,United States,Services
CHT,"CHUNGHWA TELECOM CO., LTD.",NYQ,Taiwan,Technology
CHTR,Charter Comm Inc,NASDAQ Global Select,United States,Services
CI,Cigna Corp,NYSE Euronext,United States,Health Care
CIA,"CITIZENS, INC.",NYQ,United States,Financials
CIEN,Ciena Corporation,NYQ,United States,Technology
CIG-C,COMPANHIA ENERGÉTICA DE MINAS GERAIS - CEMIG,NYQ,Brazil,Utilities
CIM,Chimera Investment Corp,NYSE Euronext,United States,Financials
CIR,CORGI CRCL 2X DAILY ETF,BTS,US,Technology
CL,Colgate Palmolive Co,NYSE Euronext,United States,Goods
CLB,CORE LABORATORIES INC.,NYQ,United States,Energy
CLDT,CHATHAM LODGING TRUST,NYQ,United States,Financials
CLF,Cliffs Natural Resource,NYSE Euronext,United States,Materials
CLH,Clean Harbors Inc,NYSE Euronext,United States,Industrials
CLS,CELESTICA INC.,NYQ,Canada,Technology
CLW,CLEARWATER PAPER CORPORATION,NYQ,United States,BasicMaterials
CLX,Clorox Co,NYSE Euronext,United States,Goods
CM,CANADIAN IMPERIAL BANK OF COMMERCE,NYQ,Canada,Financials
CMC,COMMERCIAL METALS COMPANY,NYQ,United States,Industrials
CMCSA,Comcast Corp,NASDAQ Global Select,United States,Services
CME,CME Group Inc,NASDAQ Global Select,United States,Financials
CMG,Chipotle Mexican Grill,NYSE Euronext,United States,Services
CMI,Cummins Inc,NYSE Euronext,United States,Industrials
CMP,Compass Minerals Intl,NYSE Euronext,United States,Materials
CMRE,COSTAMARE INC.,NYQ,Monaco,Industrials
CMS,CMS Energy Corp,NYSE Euronext,United States,Utilities
CNA,CNA Financial Corp,NYSE Euronext,United States,Financials
CNA.L,Centrica,London Stock Exchange,United Kingdom,Utilities
CNC,Centene Corporation,NYQ,United States,Health Care
CNH,CNH INDUSTRIAL N.V.,NYQ,United Kingdom,Industrials
CNI,CANADIAN NATIONAL RAILWAY COMPANY,NYQ,Canada,Industrials
CNK,Cinemark Holdings Inc,NYSE Euronext,United States,Services
CNL,COLLECTIVE MINING LTD.,ASE,United States,BasicMaterials
CNO,"CNO FINANCIAL GROUP, INC.",NYQ,United States,Financials
CNP,Centerpoint Energy Inc,NYSE Euronext,United States,Utilities
CNQ,CANADIAN NATURAL RESOURCES LIMITED,NYQ,Canada,Energy
CNS,"COHEN & STEERS, INC.",NYQ,United States,Financials
CNX,Consol Energy Inc,NYSE Euronext,United States,Materials
COF,Capital One Financial,NYSE Euronext,United States,Financials
COHR,Coherent Corp.,NYQ,United States,Technology
COIN,"Coinbase Global, Inc.",NMS,United States,Financials
COO,Cooper Companies Inc,NYSE Euronext,United States,Health Care
COP,ConocoPhillips,NYSE Euronext,United States,Oil & Gas
COR,"Cencora, Inc.",NYQ,United States,Health Care
COST,Costco Wholesale Corp,NASDAQ Global Select,United States,Services
