"New Stock List as of 1/17/2014",,,
MRT,"MARTI TECHNOLOGIES, INC.",ASE,Turkey,Technology
MRVL,Marvell Technology Group,NASDAQ Global Select,United States,Technology
MRX,MAREX GROUP LIMITED,NMS,United Kingdom,Financials
MS,Morgan Stanley,NYSE Euronext,United States,Financials
MSA,MSA SAFETY INCORPORATED,NYQ,United States,Industrials
MSCI,MSCI Inc,NYSE Euronext,United States,Financials
MSFT,Microsoft Corp,NASDAQ Global Select,United States,Technology
MSI,Motorola Solutions Inc,NYSE Euronext,United States,Technology
MSM,MSC Industrial Direct ,NYSE Euronext,United States,Industrials
MSTR,STRATEGY INC,NMS,United States,Technology
MT,ARCELORMITTAL S.A.,NYQ,Luxembourg,BasicMaterials
MT.AS,ArcelorMittal,Euronext Amsterdam,Luxembourg,Materials
MTB,M & T Bank Corp,NYSE Euronext,United States,Financials
MTD,Mettler Toledo Intl Inc,NYSE Euronext,United States,Industrials
MTG,MGIC INVESTMENT CORPORATION,NYQ,United States,Financials
MTH,MERITAGE HOMES CORPORATION,NYQ,United States,ConsumerDiscr
MTN,"VAIL RESORTS, INC.",NYQ,United States,ConsumerDiscr
MTRN,MATERION CORPORATION,NYQ,United States,BasicMaterials
MTW,The Manitowoc Company,NYSE Euronext,United States,Industrials
MTX,MINERALS TECHNOLOGIES INC.,NYQ,United States,BasicMaterials
MTZ,"MASTEC, INC.",NYQ,United States,Industrials
MU,Micron Technology Inc,NASDAQ Global Select,United States,Technology
MUR,Murphy Oil Corp,NYSE Euronext,United States,Oil & Gas
MUSA,MURPHY USA INC.,NYQ,United States,ConsumerDiscr
MUV2.DE,Munich Re Ag,Frankfurt Stock Exchange,Germany,Financials
MWA,"MUELLER WATER PRODUCTS, INC.",NYQ,United States,Industrials
MX,MAGNACHIP SEMICONDUCTOR CORPORATION,NYQ,South Korea,Technology
MXL,"MAXLINEAR, INC.",NMS,United States,Technology
MYE,"MYERS INDUSTRIES, INC.",NYQ,United States,ConsumerDiscr
NAT,NORDIC AMERICAN TANKERS LIMITED,NYQ,Bermuda,Energy
NBIS,NEBIUS GROUP,NMS,Netherlands,Technology
NBR,Nabors Industries Ltd,NYSE Euronext,United States,Oil & Gas
NC,"NACCO INDUSTRIES, INC.",NYQ,United States,Energy
NCI,NEO-CONCEPT INTERNATIONAL GROUP HOLDINGS LIMITED,NCM,Hong Kong,ConsumerDiscr
NCLH,Norwegian Cruise Line,,United States,Services
NCT,INTERCONT (CAYMAN) LIMITED,NCM,Hong Kong,Industrials
NDSN,Nordson Corp,NASDAQ Global Select,United States,Goods
NE,Noble Corp,,Switzerland,Oil & Gas
NEE,Nextera Energy Inc,NYSE Euronext,United States,Utilities
NEM,Newmont Mining Corp,NYSE Euronext,United States,Materials
NET,"CLOUDFLARE, INC.",NYQ,United States,Technology
NEU,Newmarket Corporation,NYSE Euronext,United States,Materials
NFG,National Fuel Gas Co,NYSE Euronext,United States,Utilities
NFLX,Netflix Inc,NASDAQ Global Select,United States,Services
NFX,Newfield Exploration Co,NYSE Euronext,United States,Oil & Gas
NG.L,NATIONAL GRID PLC,LSE,United Kingdom,Utilities
NGG,National Grid,London Stock Exchange,United Kingdom,Utilities
NGS,"NATURAL GAS SERVICES GROUP, INC.",NYQ,United States,Energy
NHI,"NATIONAL HEALTH INVESTORS, INC.",NYQ,United States,Financials
NI,Nisource Inc,NYSE Euronext,United States,Utilities
NJR,NEW JERSEY RESOURCES CORPORATION,NYQ,United States,Utilities
NKE,Nike Inc,NYSE Euronext,United States,Goods
NL,"NLI HOLDINGS, INC.",NYQ,United States,Industrials
NLY,Annaly Capital Mgmt Inc,NYSE Euronext,United States,Financials
NMR,"NOMURA HOLDINGS, INC.",NYQ,Japan,Financials
NNI,"NELNET, INC.",NYQ,United States,Financials
NNN,National Retail Pptys,NYSE Euronext,United States,Financials
NOA,NORTH AMERICAN CONSTRUCTION GROUP LTD.,NYQ,Canada,Energy
NOAH,NOAH HOLDINGS LIMITED,NYQ,Singapore,Financials
NOC,Northrop Grumman Corp,NYSE Euronext,United States,Industrials
NOK,Nokia Corp,Helsinki Stock Exchange,Finland,Technology
NOV,National Oilwell Varco,NYSE Euronext,United States,Oil & Gas
NOW,ServiceNow Inc,,United States,Technology
NP,NEPTUNE INSURANCE HOLDINGS INC.,NYQ,United States,Financials
NPK,"NATIONAL PRESTO INDUSTRIES, INC.",NYQ,United States,Industrials
NPO,ENPRO INC.,NYQ,United States,Industrials
NRG,NRG Energy Inc,NYSE Euronext,United States,Utilities
NSC,Norfolk Southern Corp,NYSE Euronext,United States,Industrials
NSP,"INSPERITY, INC.",NYQ,United States,Industrials
NTZ,NATUZZI S.P.A.,NYQ,Italy,ConsumerDiscr
NU,Northeast Utilities,NYSE Euronext,United States,Utilities
NUE,Nucor Corp,NYSE Euronext,United States,Materials
NUS,Nu Skin Enterprises,NYSE Euronext,United States,Goods
NVDA,Nvidia Corp,NASDAQ Global Select,United States,Technology
NVO,NOVO NORDISK A/S,NYQ,Denmark,Healthcare
NVR,NVR Inc,NYSE Euronext,United States,Goods
NVS,NOVARTIS AG,NYQ,Switzerland,Healthcare
NWE,"NORTHWESTERN ENERGY GROUP, INC.",NMS,United States,Utilities
NWG.L,NATWEST GROUP PLC,LSE,United Kingdom,Financials
NWL,Newell Rubbermaid Inc,NYSE Euronext,United States,Goods
NWN,NORTHWEST NATURAL HOLDING COMPANY,NYQ,United States,Utilities
NWS,News Corporation,NMS,United States,Services
NX,QUANEX BUILDING PRODUCTS CORPORATION,NYQ,United States,Industrials
NXPI,NXP Semiconductors N.V.  ,NASDAQ Global Select,Netherlands,Technology
NXT.L,Next,London Stock Exchange,United Kingdom,Services
NYT,THE NEW YORK TIMES COMPANY,NYQ,United States,Technology
O,Realty Income Corp,NYSE Euronext,United States,Financials
OC,Owens Corning New,NYSE Euronext,United States,Industrials
ODC,OIL-DRI CORPORATION OF AMERICA,NYQ,United States,BasicMaterials
ODFL,Old Dominion Freight,,United States,Services
OFG,OFG BANCORP,NYQ,United States,Financials
OGE,OGE Energy Corp,NYSE Euronext,United States,Oil & Gas
OHI,Omega Healthcare Invs,,United States,Health Care
OI,Owens Illinois Inc,NYSE Euronext,United States,Industrials
OII,Oceaneering Intl,NYSE Euronext,United States,Oil & Gas
OIS,Oil States International,NYSE Euronext,United States,Oil & Gas
OKE,Oneok Inc,NYSE Euronext,United States,Utilities
OLN,OLIN CORPORATION,NYQ,United States,BasicMaterials
OLP,"ONE LIBERTY PROPERTIES, INC.",NYQ,United States,Financials
OMC,Omnicom Group Inc,NYSE Euronext,United States,Services
ON,ON Semiconductor Corporation,NMS,United States,Technology
ONB,OLD NATIONAL BANCORP,NMS,United States,Financials
OPK,"OPKO HEALTH, INC.",NMS,United States,Healthcare
OPY,OPPENHEIMER HOLDINGS INC.,NYQ,United States,Financials
OR.PA,L'Oreal,Euronext Paris,France,Goods
ORA,"ORMAT TECHNOLOGIES, INC.",NYQ,United States,Utilities
ORCL,Oracle Corp,NASDAQ Global Select,United States,Technology
ORI,Old Republic Intl Corp,NYSE Euronext,United States,Financials
ORLY,O Reilly Automotive Inc,NASDAQ Global Select,United States,Services
ORN,"ORION GROUP HOLDINGS, INC.",NYQ,United States,Industrials
OSG,"OCTAVE SPECIALTY GROUP, INC.",NYQ,United States,Financials
OSK,Oshkosh Corp,NYSE Euronext,United States,Industrials
OTIS,Otis Worldwide Corporation,NYQ,United States,Industrials
OXM,"OXFORD INDUSTRIES, INC.",NYQ,United States,ConsumerDiscr
OXY,Occidental Pete Corp,NYSE Euronext,United States,Oil & Gas
P,Pandora Media Inc,NYSE Euronext,United States,Services
PAC,"GRUPO AEROPORTUARIO DEL PACÍFICO, S.A.B. DE C.V.",NYQ,Mexico,Industrials
PAG,"PENSKE AUTOMOTIVE GROUP, INC.",NYQ,United States,ConsumerDiscr
PAM,PAMPA ENERGÍA S.A.,NYQ,Argentina,Industrials
PANW,Palo Alto Networks Inc,,United States,Technology
PAR,PAR TECHNOLOGY CORPORATION,NYQ,United States,Technology
PAY,Verifone Systems Inc,NYSE Euronext,United States,Technology
PAYX,Paychex Inc,NASDAQ Global Select,United States,Services
PBH,PRESTIGE CONSUMER HEALTHCARE INC.,NYQ,United States,Healthcare
PBI,Pitney Bowes Inc,NYSE Euronext,United States,Technology
PBR,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,NYQ,Brazil,Energy
PC,PREMIUM CATERING (HOLDINGS) LIMITED,NCM,Singapore,Industrials
PCAR,Paccar Inc,NASDAQ Global Select,United States,Industrials
PCG,PG&E Corp,NYSE Euronext,United States,Utilities
PCL,Plum Creek Timber Co In,NYSE Euronext,United States,Financials
PCS,PGIM CORPORATE BOND 0-5 YEAR ETF,BTS,US,Technology
PDD,PDD HOLDINGS INC.,NMS,Ireland,Technology
PDM,Piedmont Office Rlty Tr,NYSE Euronext,United States,Financials
PDS,PRECISION DRILLING CORPORATION,NYQ,Canada,Energy
PEB,PEBBLEBROOK HOTEL TRUST,NYQ,United States,Financials
PEG,Public Svc Enterprise,NYSE Euronext,United States,Utilities
PEP,Pepsico Inc,NYSE Euronext,United States,Goods
PFE,Pfizer Inc,NYSE Euronext,United States,Health Care
PFG,Principal Financial Grp,NYSE Euronext,United States,Financials
PFS,"PROVIDENT FINANCIAL SERVICES, INC.",NYQ,United States,Financials
PG,Procter & Gamble Co,NYSE Euronext,United States,Goods
PGR,Progressive Corp,NYSE Euronext,United States,Financials
PH,Parker Hannifin Corp,NYSE Euronext,United States,Industrials
PHG,KONINKLIJKE PHILIPS N.V.,NYQ,Netherlands,Healthcare
PHI,PLDT INC.,NYQ,Philippines,Technology
PHIA.AS,Royal Philips Electronics,Euronext Amsterdam,Netherlands,Industrials
PHM,Pultegroup Inc,NYSE Euronext,United States,Goods
PII,Polaris Industries Inc,NYSE Euronext,United States,Goods
PKE,PARK AEROSPACE CORP.,NYQ,United States,Industrials
PKG,Packaging Corp Of Amer,NYSE Euronext,United States,Industrials
PKX,POSCO HOLDINGS INC.,NYQ,South Korea,BasicMaterials
PL,Protective Life Corp,NYSE Euronext,United States,Financials
PLD,Prologis Inc,NYSE Euronext,United States,Financials
PLOW,"DOUGLAS DYNAMICS, INC.",NYQ,United States,ConsumerDiscr
PLT,DEFIANCE LEVERAGED LONG + INCOME PLTR ETF,NGM,US,Technology
PLTR,Palantir Technologies Inc.,NMS,United States,Technology
PM,Philip Morris Intl,NYSE Euronext,United States,Goods
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,NYQ,United States,Financials
PNC,PNC Financial Svcs Grou,NYSE Euronext,United States,Financials
PNR,Pentair Inc,NYSE Euronext,United States,Industrials
PNW,Pinnacle West Capital C,NYSE Euronext,United States,Utilities
PODD,Insulet Corporation,NMS,United States,Health Care
POM,Pepco Holdings Inc,NYSE Euronext,United States,Utilities
POR,PORTLAND GENERAL ELECTRIC COMPANY,NYQ,United States,Utilities
PPC,PILGRIM'S PRIDE CORPORATION,NMS,United States,ConsumerStpl
PPG,PPG Industries Inc,NYSE Euronext,United States,Materials
PPL,PPL Corp,NYSE Euronext,United States,Utilities
PRA,Proassurance Corp,NYSE Euronext,United States,Financials
PRE,Partnerre Ltd,NYSE Euronext,United States,Financials
PRI,"PRIMERICA, INC.",NYQ,United States,Financials
PRU,Prudential Financial,NYSE Euronext,United States,Financials
PRU.L,PRUDENTIAL PLC,LSE,Hong Kong,Financials
PSA,Public Storage Inc,NYSE Euronext,United States,Financials
PSKY,Paramount Skydance Corporation,NMS,United States,Services
PSO,PEARSON PLC,NYQ,United Kingdom,Technology
PSON.L,Pearson,London Stock Exchange,United Kingdom,Services
PTC,PTC Inc.,NMS,United States,Technology
PUK,PRUDENTIAL PLC,NYQ,Hong Kong,Financials
PULS,PGIM ULTRA SHORT BOND ETF,PCX,US,Technology
PVH,PVH Corp,NYSE Euronext,United States,Goods
PWR,Quanta Services Inc,NYSE Euronext,United States,Industrials
PYPL,"PayPal Holdings, Inc.",NMS,United States,Financials
Q,Quintiles Transnational,,United States,Health Care
QCOM,Qualcomm Inc,NASDAQ Global Select,United States,Technology
QUAD,"QUAD/GRAPHICS, INC.",NYQ,United States,Industrials
R,Ryder System Inc,NYSE Euronext,United States,Industrials
RA,BROOKFIELD REAL ASSETS INCOME FUND INC.,NYQ,United States,Financials
RATE,GLOBAL X INTEREST RATE HEDGE ETF,PCX,US,Technology
RBA,"RB GLOBAL, INC.",NYQ,United States,Industrials
RBC,Regal Beloit Corp,NYSE Euronext,United States,Industrials
RC,READY CAPITAL CORPORATION,NYQ,United States,Financials
RCI,ROGERS COMMUNICATIONS INC.,NYQ,Canada,Technology
RCL,Royal Caribbean Cruises,NYSE Euronext,United States,Services
RDN,RADIAN GROUP INC.,NYQ,United States,Financials
RDY,DR. REDDY'S LABORATORIES LIMITED,NYQ,India,Healthcare
REG,Regency Centers Corp,NYSE Euronext,United States,Financials
REGN,Regeneron Pharmaceuticals,NASDAQ Global Select,United States,Health Care
REL.L,Reed Elsevier,London Stock Exchange,United Kingdom,Services
REP.MC,"REPSOL, S.A.",MCE,Spain,Energy
RES,RPC Inc,NYSE Euronext,United States,Oil & Gas
REX,REX AMERICAN RESOURCES CORPORATION,NYQ,United States,BasicMaterials
RF,Regions Financial Corp,NYSE Euronext,United States,Financials
RGA,Reinsurance Grp Of Amer,NYSE Euronext,United States,Financials
RGC,Regal Entmt Group,NYSE Euronext,United States,Services
RGR,"STURM, RUGER & COMPANY, INC.",NYQ,United States,Industrials
RGS,REGIS CORPORATION,NGM,United States,ConsumerDiscr
RHI,Robert Half Intl Inc,NYSE Euronext,United States,Industrials
RIG,Transocean,,Switzerland,Oil & Gas
RIO,Rio Tinto,London Stock Exchange,United Kingdom,Materials
RIO.L,RIO TINTO GROUP,LSE,United Kingdom,BasicMaterials
RJF,Raymond James Financial,NYSE Euronext,United States,Financials
RKLB,ROCKET LAB CORPORATION,NMS,United States,Industrials
RKT,Rock-Tenn Co,NYSE Euronext,United States,Industrials
RKT.L,RECKITT BENCKISER GROUP PLC,LSE,United Kingdom,ConsumerStpl
RL,Ralph Lauren Corp,NYSE Euronext,United States,Goods
RLI,RLI CORP.,NYQ,United States,Financials
RLJ,RLJ LODGING TRUST,NYQ,United States,Financials
RMD,ResMed Inc,NYSE Euronext,United States,Health Care
RMS.PA,HERMÈS INTERNATIONAL SOCIÉTÉ EN COMMANDITE PAR ACTIONS,PAR,France,ConsumerDiscr
RNR,Renaissancere Holdings,NYSE Euronext,United States,Financials
ROC,Rockwood Holdings Inc,NYSE Euronext,United States,Materials
ROG,ROGERS CORPORATION,NYQ,United States,Technology
ROK,Rockwell Automation Inc,NYSE Euronext,United States,Industrials
ROL,Rollins Inc,NYSE Euronext,United States,Services
ROP,Roper Industries Inc,NYSE Euronext,United States,Industrials
ROST,Ross Stores Inc,NASDAQ Global Select,United States,Services
RPM,Rpm International Inc,NYSE Euronext,United States,Materials
RPT,RITHM PROPERTY TRUST INC.,NYQ,United States,Financials
RR.L,Rolls Royce,London Stock Exchange,United Kingdom,Goods
RRC,Range Resources Corp,NYSE Euronext,United States,Oil & Gas
RRR,"RED ROCK RESORTS, INC.",NMS,United States,ConsumerDiscr
RRTS,"ROADRUNNER TRANSPORTATION SYSTEMS, INC.",PNK,United States,Industrials
RS,Reliance Steel & Alum,NYSE Euronext,United States,Materials
RSG,Republic Services Inc,NYSE Euronext,United States,Industrials
RTO.L,RENTOKIL INITIAL PLC,LSE,United Kingdom,Industrials
RTX,RTX Corporation,NYQ,United States,Industrials
RVTY,"Revvity, Inc.",NYQ,United States,Health Care
RWE.DE,RWE Ag,Frankfurt Stock Exchange,Germany,Utilities
RWT,"REDWOOD TRUST, INC.",NYQ,United States,Financials
RY,ROYAL BANK OF CANADA,NYQ,Canada,Financials
RYN,Rayonier Inc,NYSE Euronext,United States,Financials
S,Sprint Nextel,NYSE Euronext,United States,Technology
SAF.PA,SAFRAN SA,PAR,France,Industrials
SAH,"SONIC AUTOMOTIVE, INC.",NYQ,United States,ConsumerDiscr
SAM,"THE BOSTON BEER COMPANY, INC.",NYQ,United States,ConsumerStpl
SAN,Banco Santander,NYSE Euronext,Spain,Financials
SAN.MC,"BANCO SANTANDER, S.A.",MCE,Spain,Financials
SAN.PA,Sanofi,Euronext Paris,France,Health Care
SAP,SAP SE,NYQ,Germany,Technology
SAP.DE,SAP,Frankfurt Stock Exchange,Germany,Technology
SB,"SAFE BULKERS, INC.",NYQ,Monaco,Industrials
SBAC,SBA Communications Corp,NASDAQ Global Select,United States,Services
SBH,Sally Beauty Holdings,NYSE Euronext,United States,Services
SBRY.L,Sainsbury,London Stock Exchange,United Kingdom,Services
SBS,COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO - SABESP,NYQ,Brazil,Utilities
SBUX,Starbucks Corp,NASDAQ Global Select,United States,Services
SCCO,Southern Copper Corp,NYSE Euronext,United States,Materials
SCHW,Schwab Charles Corp,NYSE Euronext,United States,Financials
SCI,Service Corp Intl,NYSE Euronext,United States,Services
SCL,STEPAN COMPANY,NYQ,United States,BasicMaterials
SD,Sandridge Energy Inc,NYSE Euronext,United States,Oil & Gas
SDR.L,Schroders,London Stock Exchange,United Kingdom,Financials
SDRL,Seadrill Limited,,United States,Materials
SE,Spectra Energy Corp,NYSE Euronext,United States,Utilities
SEM,SELECT MEDICAL HOLDINGS CORP,NYQ,United States,Healthcare
SEMG,SUNCOAST SELECT GROWTH ETF,PCX,US,Technology
SF,STIFEL FINANCIAL CORP.,NYQ,United States,Financials
SFD,"SMITHFIELD FOODS, INC.",NMS,United States,ConsumerStpl
SFL,SFL CORPORATION LTD.,NYQ,Bermuda,Industrials
SFY,SOFI SELECT 500 ETF,PCX,US,Technology
SGE.L,Sage Group,London Stock Exchange,United Kingdom,Technology
SGO.PA,Compagnie De Saint-Gobain,Euronext Paris,France,Industrials
SGRO.L,SEGRO PLC,LSE,United Kingdom,Financials
SHEL.L,SHELL PLC,LSE,United Kingdom,Energy
SHG,"SHINHAN FINANCIAL GROUP CO., LTD.",NYQ,South Korea,Financials
SHO,"SUNSTONE HOTEL INVESTORS, INC.",NYQ,United States,Financials
SHOP,SHOPIFY INC.,NMS,Canada,Technology
SHW,Sherwin Williams Co,NYSE Euronext,United States,Industrials
SI,"SHOULDER INNOVATIONS, INC.",NYQ,US,Technology
SID,COMPANHIA SIDERÚRGICA NACIONAL,NYQ,Brazil,BasicMaterials
SIE.DE,Siemens Ag,Frankfurt Stock Exchange,Germany,Industrials
SIG,Signet Jewelers Ltd,NYSE Euronext,United States,Services
SJM,The JM Smucker Company,NYSE Euronext,United States,Goods
SKM,"SK TELECOM CO., LTD.",NYQ,South Korea,Technology
SKT,Tanger Factory Outlet,NYSE Euronext,United States,Financials
SKY,"CHAMPION HOMES, INC.",NYQ,United States,ConsumerDiscr
SLB,Schlumberger Ltd,NYSE Euronext,United States,Oil & Gas
SLE,"SUPER LEAGUE ENTERPRISE, INC.",NCM,United States,Technology
SLF,SUN LIFE FINANCIAL INC.,NYQ,Canada,Financials
SLG,Sl Green Realty Corp,NYSE Euronext,United States,Financials
SM,SM Energy Co,NYSE Euronext,United States,Oil & Gas
SMA,"SMARTSTOP SELF STORAGE REIT, INC.",NYQ,United States,Financials
SMCI,"Super Micro Computer, Inc.",NMS,United States,Technology
SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",NYQ,Japan,Financials
SMG,Scotts Miracle,NYSE Euronext,United States,Goods
SMI,VANECK HIP SUSTAINABLE MUNI ETF,BTS,US,Technology
SMIN.L,Smiths Group,London Stock Exchange,United Kingdom,Goods
SMP,"STANDARD MOTOR PRODUCTS, INC.",NYQ,United States,ConsumerDiscr
SMWH.L,WH SMITH PLC,LSE,United Kingdom,ConsumerDiscr
SN,"SHARKNINJA, INC.",NYQ,United States,ConsumerDiscr
SN.L,Smith & Nephew,London Stock Exchange,United Kingdom,Health Care
SNA,Snap On Inc,NYSE Euronext,United States,Goods
SNDK,Sandisk Corp,NASDAQ Global Select,United States,Technology
SNN,SMITH & NEPHEW PLC,NYQ,United Kingdom,Healthcare
SNOW,SNOWFLAKE INC.,NYQ,United States,Technology
SNPS,Synopsys Inc,NASDAQ Global Select,United States,Technology
SNX,TD SYNNEX CORPORATION,NYQ,United States,Technology
SNY,Sanofi-Aventis,,France,Health Care
SO,Southern Co,NYSE Euronext,United States,Utilities
SOLV,Solventum Corporation,NYQ,United States,Health Care
SON,Sonoco Products Co,NYSE Euronext,United States,Industrials
SPB,"SPECTRUM BRANDS HOLDINGS, INC.",NYQ,United States,ConsumerStpl
SPCX,SPACE EXPLORATION TECHNOLOGIES CORP.,NMS,United States,Industrials
SPG,Simon Property Group In,NYSE Euronext,United States,Financials
SPGI,S&P Global Inc.,NYQ,United States,Financials
SPX.L,SPIRAX GROUP PLC,LSE,United Kingdom,Industrials
SQM,SOCIEDAD QUÍMICA Y MINERA DE CHILE S.A.,NYQ,Chile,BasicMaterials
SQNS,SEQUANS COMMUNICATIONS S.A.,NYQ,France,Technology
SR,SPIRE INC.,NYQ,United States,Utilities
SRE,Sempra Energy,NYSE Euronext,United States,Utilities
SRI,"STONERIDGE, INC.",NYQ,United States,ConsumerDiscr
SRP.L,Serco Group,London Stock Exchange,United Kingdom,Services
SSD,"SIMPSON MANUFACTURING CO., INC.",NYQ,United States,BasicMaterials
SSE.L,SSE,London Stock Exchange,United Kingdom,Utilities
SSL,SASOL LIMITED,NYQ,South Africa,BasicMaterials
SSP,THE E.W. SCRIPPS COMPANY,NMS,United States,Technology
SSS,CYBER HORNET S&P 500AND SOLANA 75/25 STRATEGY ETF,NGM,US,Technology
STAG,"STAG INDUSTRIAL, INC.",NYQ,United States,Financials
STAN.L,Standard Chartered,London Stock Exchange,United Kingdom,Financials
STC,STEWART INFORMATION SERVICES CORPORATION,NYQ,United States,Financials
STE,STERIS plc,NYQ,United States,Health Care
STI,Suntrust Banks Inc,NYSE Euronext,United States,Financials
STJ.L,ST. JAMES'S PLACE PLC,LSE,United Kingdom,Financials
STLD,Steel Dynamics Inc,NASDAQ Global Select,United States,Industrials
STM,STMICROELECTRONICS N.V.,NYQ,Netherlands,Technology
STN,STANTEC INC.,NYQ,Canada,Industrials
STNG,SCORPIO TANKERS INC.,NYQ,Monaco,Energy
STT,State Street Corp,NYSE Euronext,United States,Financials
STWD,Starwood Ppty Trust Inc,,United States,Financials
STX,Seagate Technology,NASDAQ Global Select,United States,Technology
STZ,Constellation Brands,NYSE Euronext,United States,Goods
SU,SUNCOR ENERGY INC.,NYQ,Canada,Energy
SU.PA,Schneider Electric,Euronext Paris,France,Industrials
SUI,"SUN COMMUNITIES, INC.",NYQ,United States,Financials
SUN,SUNOCO LP,NYQ,United States,Energy
SVM,SILVERCORP METALS INC.,ASE,Canada,BasicMaterials
SVT.L,Severn Trent,London Stock Exchange,United Kingdom,Utilities
SW,Smurfit Westrock Plc,NYQ,Ireland,Goods
SWK,Stanley Black & Decker,NYSE Euronext,United States,Goods
SWKS,Skyworks Solutions Inc,NASDAQ Global Select,United States,Technology
SWX,"SOUTHWEST GAS HOLDINGS, INC.",NYQ,United States,Utilities
SXC,"SUNCOKE ENERGY, INC.",NYQ,United States,BasicMaterials
SXI,STANDEX INTERNATIONAL CORPORATION,NYQ,United States,Industrials
SXT,SENSIENT TECHNOLOGIES CORPORATION,NYQ,United States,BasicMaterials
SYF,Synchrony Financial,NYQ,United States,Financials
SYK,Stryker Corporation,NYSE Euronext,United States,Health Care
SYY,Sysco Corp,NYSE Euronext,United States,Services
T,AT&T Inc,NYSE Euronext,United States,Technology
TAC,TRANSALTA CORPORATION,NYQ,Canada,Utilities
TAL,TAL EDUCATION GROUP,NYQ,China,ConsumerStpl
TAP,Molson Coors Brewing Co,NYSE Euronext,United States,Goods
TAP-A,MOLSON COORS BEVERAGE COMPANY,NYQ,United States,ConsumerStpl
TATE.L,Tate & Lyle,London Stock Exchange,United Kingdom,Goods
TBI,"TRUEBLUE, INC.",NYQ,United States,Industrials
TC,TOKEN CAT LIMITED,NCM,China,Technology
TCI,"TRANSCONTINENTAL REALTY INVESTORS, INC.",NYQ,United States,Financials
TD,THE TORONTO-DOMINION BANK,NYQ,Canada,Financials
TDC,Teradata Corp,NYSE Euronext,United States,Technology
TDG,Transdigm Group Inc,NYSE Euronext,United States,Industrials
TDS,Telephone & Data System,NYSE Euronext,United States,Technology
TDW,Tidewater Inc,NYSE Euronext,United States,Oil & Gas
TDY,Teledyne Technologies Incorporated,NYQ,United States,Technology
TE,Teco Energy Inc,NYSE Euronext,United States,Utilities
TEAM,ATLASSIAN CORPORATION,NMS,Australia,Technology
TECH,Techne Corp,NASDAQ Global Select,United States,Health Care
TEF.MC,"TELEFÓNICA, S.A.",MCE,Spain,Technology
TEL,TE Connectivity Ltd,,Switzerland,Technology
TEN,TSAKOS ENERGY NAVIGATION LIMITED,NYQ,Greece,Energy
TEO,TELECOM ARGENTINA S.A.,NYQ,Argentina,Technology
TER,Teradyne Inc,NYSE Euronext,United States,Technology
TEX,Terex Corp,NYSE Euronext,United States,Industrials
TFC,Truist Financial Corporation,NYQ,United States,Financials
TFX,Teleflex Inc,NYSE Euronext,United States,Health Care
TG,TREDEGAR CORPORATION,NYQ,United States,Industrials
TGS,TRANSPORTADORA DE GAS DEL SUR S.A.,NYQ,Argentina,Energy
TGT,Target Corp,NYSE Euronext,United States,Services
THC,Tenet Healthcare Corp,NYSE Euronext,United States,Health Care
THG,Hanover Insurance Group,NYSE Euronext,United States,Financials
THO,Thor Industries Inc,NYSE Euronext,United States,Goods
TJX,The TJX Companies,NYSE Euronext,United States,Services
TK,Teekay Corp,NYSE Euronext,United States,Industrials
TKC,TURKCELL ILETISIM HIZMETLERI A.S.,NYQ,Turkey,Technology
TKO,"TKO Group Holdings, Inc.",NYQ,United States,Services
TKR,Timken Co,NYSE Euronext,United States,Industrials
TLK,PERUSAHAAN PERSEROAN (PERSERO) PT TELEKOMUNIKASI INDONESIA TBK,NYQ,Indonesia,Technology
TLW.L,Tullow Oil,London Stock Exchange,United Kingdom,Materials
TM,Toyota Motor,,Japan,Goods
TMH,TOYOTA MOTOR CORPORATION ADRHEDGED,PCX,US,Technology
TMO,Thermo Fisher Scientifi,NYSE Euronext,United States,Health Care
TMS,TEAMSHARES INC.,NCM,United States,Financials
TMUS,T-Mobile US,,United States,Technology
TNC,TENNANT COMPANY,NYQ,United States,Industrials
TNK,TEEKAY TANKERS LTD.,NYQ,Bermuda,Energy
TOL,Toll Brothers Inc,NYSE Euronext,United States,Goods
TOT,LIONSHARES U.S. EQUITY TOTAL RETURN ETF,PCX,US,Technology
TPC,TUTOR PERINI CORPORATION,NYQ,United States,Industrials
TPL,Texas Pacific Land Corporation,NYQ,United States,Oil & Gas
TPR,"Tapestry, Inc.",NYQ,United States,Goods
TR,"TOOTSIE ROLL INDUSTRIES, INC.",NYQ,United States,ConsumerStpl
TRC,TEJON RANCH CO.,NYQ,United States,Industrials
TREX,"TREX COMPANY, INC.",NYQ,United States,Industrials
TRGP,Targa Resources Corp.,NYQ,United States,Oil & Gas
TRI,Thomson Reuters Corp,NYSE Euronext,Canada,Services
TRMB,Trimble Navigation Ltd,NASDAQ Global Select,United States,Goods
TRN,Trinity Industries Inc,NYSE Euronext,United States,Industrials
TRNO,TERRENO REALTY CORPORATION,NYQ,United States,Financials
TRP,TC ENERGY CORPORATION,NYQ,Canada,Energy
TRV,The Travelers Companies,NYSE Euronext,United States,Financials
TS,TENARIS S.A.,NYQ,Luxembourg,Energy
TSCO.L,Tesco,London Stock Exchange,United Kingdom,Services
TSL,GRANITESHARES 1.25X LONG TSLA DAILY ETF,NGM,US,Technology
