Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region,
Evercore Partners Inc. Cl A,EVR,Financials,Asset Managers,NO,NO,United States,United States,EVR
Edwards Lifesciences Corp.,EW,Health Care,Medical Supplies,NO,NO,United States,United States,EW
ExamWorks Group Inc.,EXAM,Industrials,undefined,NO,NO,United States,United States,614
Corporate Executive Board Co.,EXBD,Industrials,undefined,NO,NO,United States,United States,615
Exelon Corp.,EXC,Utilities,Conventional Electricity,YES,NO,United States,United States,EXC
Exterran Holdings Inc.,EXH,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,EXH
Endeavour Silver Corp.,EXK,Basic Materials,undefined,NO,NO,Canada,Canada,618
Excel Trust Inc.,EXL,Financials,undefined,NO,NO,United States,United States,619
Excel Maritime Carriers Ltd.,EXM,Industrials,Marine Transportation,NO,NO,United States,United States,EXM
Eagle Materials Inc.,EXP,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,EXP
Express Inc.,EXPR,Consumer Services,undefined,NO,NO,United States,United States,622
Extra Space Storage Inc.,EXR,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States,EXR
Ford Motor Co.,F,Consumer Goods,Automobiles,YES,NO,United States,United States,F
First Acceptance Corp.,FAC,Financials,Property and Casualty Insurance,NO,NO,United States,United States,FAC
First American Corp.,FAF,Financials,Property and Casualty Insurance,NO,NO,United States,United States,FAF
Flagstar Bancorp Inc.,FBC,Financials,Banks,NO,NO,United States,United States,FBC
Fortune Brands Home & Security Inc.,FBHS,Industrials,undefined,NO,NO,United States,United States,628
Furniture Brands International Inc.,FBN,Consumer Goods,Furnishings,NO,NO,United States,United States,FBN
First BanCorp (Puerto Rico),FBP,Financials,Banks,NO,NO,United States,United States,FBP
Fibria Celulose S.A.,FBR,Basic Materials,Paper,NO,NO,Brazil,Latin America,FBR
Franklin Covey Co.,FC,Industrials,Business Support Services,NO,NO,United States,United States,FC
Forest City Enterprises Inc. Cl A,FCE-A,Financials,Real Estate Holding and Development,NO,NO,United States,United States,FCE-A
Forest City Enterprises Inc. Cl B,FCE-B,Financials,Real Estate Holding and Development,NO,NO,United States,United States,FCE-B
First Commonwealth Financial Corp. (Pennsylva,FCF,Financials,Banks,NO,NO,United States,United States,FCF
